itemsets,support
Instant food products,0.0030213653693978
UHT-milk,0.0150348895762894
artif. sweetener,0.0015106826846989
baking powder,0.0061866052801956
beef,0.0264009783468815
berries,0.0166175095316883
beverages,0.0123732105603913
bottled beer,0.0351053881015754
bottled water,0.047118912308467
brandy,0.0019423063088986
brown bread,0.0295662182576793
butter,0.027120351053881
butter milk,0.0126609596431911
cake bar,0.0043162362419969
candles,0.0030213653693978
candy,0.0102150924393928
canned beer,0.0345298899359758
canned fish,0.0061866052801956
canned fruit,0.0011509963311991
canned vegetables,0.0044601107833968
cat food,0.0089202215667937
cereals,0.0023019926623983
chewing gum,0.0087044097546939
chicken,0.0209337457736853
chocolate,0.0181281922163873
chocolate marshmallow,0.002733616286598
citrus fruit,0.0397813106970721
cleaner,0.0016545572260988
cling film/bags,0.004172361700597
coffee,0.025609668369182
condensed milk,0.0045320480540968
cream cheese ,0.0182720667577872
curd,0.0260412919933817
curd cheese,0.0022300553916984
dental care,0.0015826199553988
dessert,0.0175526940507877
detergent,0.0066182289043953
dish cleaner,0.0038126753470973
dishes,0.0063304798215955
dog food,0.0028774908279979
domestic eggs,0.0283432846557801
female sanitary products,0.0017264944967987
finished products,0.0030213653693978
fish,0.001366808143299
flour,0.0069059779871951
flower (seeds),0.0034529889935975
frankfurter,0.0288468455506798
frozen dessert,0.0038846126177972
frozen fish,0.005611107114596
frozen meals,0.0133083950794906
frozen potato products,0.0038126753470973
frozen vegetables,0.0216531184806848
fruit/vegetable juice,0.0259693547226818
grapes,0.0105028415221926
ham,0.0134522696208905
hamburger meat,0.0166894468023883
hard cheese,0.0106467160635925
herbs,0.0080569743183943
house keeping products,0.0023739299330983
hygiene articles,0.0105747787928925
ice cream,0.011294151499892
instant coffee,0.002805553557298
jam,0.0017984317674987
ketchup,0.0014387454139989
kitchen towels,0.0015826199553988
light bulbs,0.0014387454139989
liquor,0.0054672325731961
liquor (appetizer),0.0032371771814977
liver loaf,0.0025178044744982
long life bakery product,0.012732896913891
male cosmetics,0.0018703690381986
margarine,0.0250341702035824
mayonnaise,0.0033810517228976
meat,0.0132364578087907
meat spreads,0.0016545572260988
misc. beverages,0.0123732105603913
mustard,0.0048197971368966
napkins,0.0178404431335875
newspapers,0.0291345946334796
nut snack,0.0011509963311991
nuts/prunes,0.0016545572260988
oil,0.0110064024170922
onions,0.015682325012589
organic sausage,0.0010790590604992
other vegetables,0.092799079202935
packaged fruit/vegetables,0.0066901661750953
pasta,0.0057549816559959
pastry,0.0397813106970721
pet care,0.0045320480540968
photo/film,0.0037407380763973
pickled vegetables,0.0067621034457952
pip fruit,0.0364721962448744
popcorn,0.0023019926623983
pork,0.0273361628659808
pot plants,0.0058988561973958
potato products,0.001294870872599
